"Feature","Gain","Cover","Frequency"
"churndep",0.646220599212407,0.150574920063192,0.053072625698324
"calibrat",0.279178517727099,0.268941046728476,0.128491620111732
"mou",0.00933339213934955,0.0959602095256026,0.0614525139664804
"eqpdays",0.00787959918861531,0.0442028042320677,0.0837988826815642
"dropvce",0.00648733384026581,0.0158448670508741,0.0391061452513966
"setprc",0.00608279206703754,0.0108896295417189,0.0223463687150838
"revenue",0.00582617184301288,0.0537396006231332,0.0502793296089385
"changem",0.00450588652188596,0.0193959132400161,0.0391061452513966
"age1",0.00387645402732995,0.086494299376396,0.0642458100558659
"changer",0.00370029301691239,0.0108830035136503,0.0363128491620112
"incalls",0.00302566671101225,0.035604636008949,0.0251396648044693
"przm_num",0.00248697985400385,0.00661137838501182,0.0251396648044693
"unansvce",0.00243337845924707,0.00975590371942149,0.0335195530726257
"phones",0.00236370796308728,0.045176346470991,0.0195530726256983
"creditb",0.00224617101431864,0.00710831436058057,0.0167597765363128
"custcare",0.00200938454532676,0.0347546495154265,0.0195530726256983
"credita",0.00145440667133773,0.00780502475982435,0.0111731843575419
"recchrge",0.00142522282860524,0.00170809765394743,0.00558659217877095
"opeakvce",0.00117459700693556,0.00419268861752695,0.0195530726256983
"marryun",0.00112517768163522,0.00525310392333378,0.0167597765363128
